NA_L1CODE,tile
0,13QFC
0,13QGC
0,15TWM
0,15TWN
0,15TXM
0,15TXN
0,15TYM
0,15TYN
0,15UXP
0,15UYP
0,16TCS
0,16TCT
0,16TDM
0,16TDN
0,16TDP
0,16TDQ
0,16TDR
0,16TDS
0,16TDT
0,16TEM
0,16TEN
0,16TEP
0,16TEQ
0,16TER
0,16TES
0,16TET
0,16TFQ
0,16TFR
0,16TFS
0,16TFT
0,16TGM
0,16TGP
0,16TGQ
0,16TGR
0,16TGS
0,16TGT
0,16UCU
0,16UCV
0,16UDU
0,16UDV
0,16UEU
0,16UEV
0,16UFU
0,17TKG
0,17TLF
0,17TLG
0,17TLH
0,17TLJ
0,17TLK
0,17TLL
0,17TLM
0,17TMF
0,17TMG
0,17TMH
0,17TMJ
0,17TMK
0,17TML
0,17TMM
0,17TNG
0,17TNH
0,17TNJ
0,17TNK
0,17TNL
0,17TPG
0,17TPH
0,17TPJ
0,17TPK
0,17TQH
0,17TQJ
0,17TQK
0,18TUN
0,18TUP
0,18TUQ
0,18TVP
0,18TVQ
1,14XNP
1,14XNQ
1,15XVJ
1,15XVK
1,15XWG
1,15XWH
1,15XWJ
1,15XWK
1,16XDH
1,16XDJ
1,16XDM
1,16XDN
1,16XDP
1,16XDQ
1,16XEH
1,16XEJ
1,16XEK
1,16XEP
1,16XEQ
1,16XER
1,16XES
1,16XET
1,17WPV
1,17XMC
1,17XMD
1,17XME
1,17XMF
1,17XMG
1,17XMH
1,17XMJ
1,17XMK
1,17XML
1,17XNA
1,17XNB
1,17XNC
1,17XND
1,17XNE
1,17XNF
1,17XNG
1,17XNH
1,17XNJ
1,17XNK
1,17XNL
1,17XNM
1,17XNN
1,17XPA
1,18WVE
1,18WWD
1,18WWE
1,18WXB
1,18WXC
1,18WXD
1,18WXE
1,18XVF
1,18XVG
1,18XVK
1,18XVL
1,18XVM
1,18XVN
1,18XVP
1,18XVQ
1,18XVR
1,18XWF
1,18XWN
1,18XWP
1,18XWQ
1,18XWR
1,18XWS
1,18XWT
1,19VFF
1,19VFG
1,19WDQ
1,19WDR
1,19WDS
1,19WDT
1,19WDU
1,19WDV
1,19WEQ
1,19WER
1,19WES
1,19WET
1,19WEU
1,19WFP
1,19WFQ
1,19WFR
1,19XDJ
1,19XDK
1,19XDL
1,19XEM
1,20VLJ
1,20VLK
1,20VLL
1,20VLM
1,20VLN
1,20VMJ
1,20VMK
1,20VML
1,20VMM
1,20VMN
1,20VNJ
1,20VNK
1,20VNL
1,20WMA
1,20WMT
1,20WMU
